source,target
Anselm of Canterbury,Georg Wilhelm Friedrich Hegel
Aristotle,Georg Wilhelm Friedrich Hegel
Benedictus de Spinoza,Georg Wilhelm Friedrich Hegel
Friedrich Schleiermacher,Georg Wilhelm Friedrich Hegel
Friedrich Wilhelm Joseph Schelling,Georg Wilhelm Friedrich Hegel
Heraclitus,Georg Wilhelm Friedrich Hegel
Immanuel Kant,Georg Wilhelm Friedrich Hegel
Jakob Böhme,Georg Wilhelm Friedrich Hegel
Jean-Jacques Rousseau,Georg Wilhelm Friedrich Hegel
Johann Gottlieb Fichte,Georg Wilhelm Friedrich Hegel
Montesquieu,Georg Wilhelm Friedrich Hegel
Nicholas of Cusa,Georg Wilhelm Friedrich Hegel
Plato,Georg Wilhelm Friedrich Hegel
Plotinus,Georg Wilhelm Friedrich Hegel
Proclus,Georg Wilhelm Friedrich Hegel
René Descartes,Georg Wilhelm Friedrich Hegel
Georg Wilhelm Friedrich Hegel,Eduard von Hartmann
Georg Wilhelm Friedrich Hegel,Julius Evola
Georg Wilhelm Friedrich Hegel,Paul Gottfried
Georg Wilhelm Friedrich Hegel,Achille Mbembe
Georg Wilhelm Friedrich Hegel,Alain
Georg Wilhelm Friedrich Hegel,Alain Badiou
Georg Wilhelm Friedrich Hegel,Alexander Dugin
Georg Wilhelm Friedrich Hegel,Alexander Zinoviev
Georg Wilhelm Friedrich Hegel,Alexandre Kojève
Georg Wilhelm Friedrich Hegel,Antonio Gramsci
Georg Wilhelm Friedrich Hegel,Antonio Labriola
Georg Wilhelm Friedrich Hegel,Axel Honneth
Georg Wilhelm Friedrich Hegel,Benedetto Croce
Georg Wilhelm Friedrich Hegel,Bronisław Trentowski
Georg Wilhelm Friedrich Hegel,Catherine Malabou
Georg Wilhelm Friedrich Hegel,Christian Ruby
Georg Wilhelm Friedrich Hegel,Claude Lévi-Strauss
Georg Wilhelm Friedrich Hegel,Dieter Henrich
Georg Wilhelm Friedrich Hegel,Dumitru D. Roșca
Georg Wilhelm Friedrich Hegel,Ernst Bloch
Georg Wilhelm Friedrich Hegel,Evald Ilyenkov
Georg Wilhelm Friedrich Hegel,Ferdinand Lassalle
Georg Wilhelm Friedrich Hegel,Francis Ellingwood Abbot
Georg Wilhelm Friedrich Hegel,Fredric Jameson
Georg Wilhelm Friedrich Hegel,Friedrich Engels
Georg Wilhelm Friedrich Hegel,Friedrich Nietzsche
Georg Wilhelm Friedrich Hegel,Georges Bataille
Georg Wilhelm Friedrich Hegel,Giovanni Gentile
Georg Wilhelm Friedrich Hegel,Hans-Georg Gadamer
Georg Wilhelm Friedrich Hegel,Heinrich Heine
Georg Wilhelm Friedrich Hegel,Hermann Cohen
Georg Wilhelm Friedrich Hegel,Indalecio Armesto
Georg Wilhelm Friedrich Hegel,Jacques Derrida
Georg Wilhelm Friedrich Hegel,James Black Baillie
Georg Wilhelm Friedrich Hegel,Jean Hyppolite
Georg Wilhelm Friedrich Hegel,Jean-Luc Nancy
Georg Wilhelm Friedrich Hegel,Jean-Paul Sartre
Georg Wilhelm Friedrich Hegel,José Rafael Herrera
Georg Wilhelm Friedrich Hegel,Karl Barth
Georg Wilhelm Friedrich Hegel,Karl Korsch
